title,authors,year_read,date_read,genre,series,series_number,format,personal_rating,notes
The Autobiography of Benjamin Franklin,Benjamin Franklin,2020,,Memoir,,,physical,,
Aion,Carl Jung,2020,,Psychology,,,physical,,
Psychopathology of Everyday Life,Sigmund Freud,2020,,Psychology,,,physical,,
Extreme Ownership,Jocko Willink and Leif Babin,2020,,Self-Help,,,physical,,
The Meditations,Marcus Aurelius,2020,,Philosophy,,,physical,,re-read
The Interpretation of Dreams,Sigmund Freud,2020,,Psychology,,,physical,,
The Secret,Rhonda Byrne,2020,,Self-Help,,,physical,,
I Can Do It,Louise Hay,2020,,Self-Help,,,physical,,
This is Marketing,Seth Godin,2020,,Business/Nonfiction,,,physical,,
The Mother Tongue,Bill Bryson,2020,,Linguistics/Nonfiction,,,physical,,
The Tipping Point,Malcolm Gladwell,2020,,Nonfiction,,,physical,,
The Power of Now,Eckhart Tolle,2020,,Philosophy/Spirituality,,,physical,,
Come as You Are,Emily Nagoski,2020,,Nonfiction,,,physical,,
The Millionaire Next Door,Thomas J. Stanley,2020,,Personal Finance,,,physical,,
The Unbearable Lightness of Being,Milan Kundera,2020,,Literary Fiction,,,physical,,re-read
The Birth of Tragedy,Friedrich Nietzsche,2020,,Philosophy,,,physical,,
The Genealogy of Morals,Friedrich Nietzsche,2020,,Philosophy,,,physical,,
Your Erroneous Zones,Wayne Dyer,2020,,Self-Help,,,physical,,
Eat Pray Love,Elizabeth Gilbert,2020,,Memoir,,,physical,,
The 4-Hour Workweek,Timothy Ferriss,2020,,Self-Help,,,physical,,
Letters from a Stoic,Seneca,2020,,Philosophy,,,physical,,
Letters from a Stoic,Seneca,2020,,Philosophy,,,physical,,re-read
Rules of Civility,Amor Towles,2020,,Literary Fiction,,,physical,,
Yes Man,Danny Wallace,2020,,Memoir,,,physical,,
Robert Frost Selected Poems,Robert Frost,2020,,Poetry,,,physical,,
What I Talk About When I Talk About Running,Haruki Murakami,2020,,Memoir,,,physical,,
Milk and Honey,Rupi Kaur,2020,,Poetry,,,physical,,
A New Earth,Eckhart Tolle,2020,,Philosophy/Spirituality,,,physical,,
Educated,Tara Westover,2020,,Memoir,,,physical,,
The Meditations,Marcus Aurelius,2020,,Philosophy,,,physical,,re-read
Walden,Henry David Thoreau,2020,,Classic,,,physical,,re-read
Jurassic Park,Michael Crichton,2020,,Science Fiction,,,physical,,
The Red Book,Carl Jung,2020,,Psychology,,,physical,,re-read
Cryptonomicon,Neal Stephenson,2021,,Science Fiction,,,physical,,
World of Women,Unknown,2021,,Fiction,,,ebook,,
The Last Wish,Andrzej Sapkowski,2021,,Fantasy,The Witcher,1,ebook,,
Desert Solitaire,Edward Abbey,2021,,Nonfiction,,,physical,,
The Other End of the Leash,Patricia McConnell,2021,,Nonfiction,,,ebook,,
Perfect Puppy in 7 Days,Sophia Yin,2021,,Nonfiction,,,ebook,,
Men Without Women,Haruki Murakami,2021,,Short Stories,,,ebook,,re-read
Ishmael,Daniel Quinn,2021,,Literary Fiction,,,physical,,
Don Quixote Part 2,Miguel de Cervantes,2021,,Classic,,,physical,,
Tropic of Cancer,Henry Miller,2021,,Literary Fiction,,,ebook,,
Dune,Frank Herbert,2021,,Science Fiction,,,ebook,,re-read
Don Quixote Part 1,Miguel de Cervantes,2021,,Classic,,,physical,,
Casino Royale,Ian Fleming,2021,,Thriller,James Bond,1,ebook,,
Herzog,Saul Bellow,2021,,Literary Fiction,,,physical,,
House of Hades,Rick Riordan,2021,,Fantasy,The Heroes of Olympus,4,ebook,,
Gravity's Rainbow,Thomas Pynchon,2021,,Literary Fiction,,,physical,,
A Wrinkle in Time,Madeleine L'Engle,2021,,Science Fiction,,,physical,,
The Sportswriter,Richard Ford,2021,,Literary Fiction,,,physical,,
The Mark of Athena,Rick Riordan,2021,,Fantasy,The Heroes of Olympus,3,ebook,,
Hero of the Ages,Brandon Sanderson,2021,,Fantasy,Mistborn,3,physical,,
It,Stephen King,2021,,Horror,,,physical,,re-read
The Lessons of History,Will Durant and Ariel Durant,2021,,History/Nonfiction,,,physical,,
The Way of the Superior Man,David Deida,2021,,Self-Help,,,physical,,
Colorless Tsukuru Tazaki,Haruki Murakami,2021,,Literary Fiction,,,physical,,re-read
Your Brain on Porn,Gary Wilson,2021,,Nonfiction,,,physical,,
The Well of Ascension,Brandon Sanderson,2021,,Fantasy,Mistborn,2,physical,,
For Whom the Bell Tolls,Ernest Hemingway,2021,,Literary Fiction,,,physical,,
Driven to Distraction,Edward M. Hallowell,2021,,Nonfiction,,,physical,,
Mistborn,Brandon Sanderson,2021,,Fantasy,Mistborn,1,physical,,
All the Pretty Horses,Cormac McCarthy,2021,,Literary Fiction,,,physical,,
All the Light We Cannot See,Anthony Doerr,2021,,Historical Fiction,,,physical,,
One Hundred Years of Solitude,Gabriel García Márquez,2021,,Literary Fiction,,,physical,,
Henderson the Rain King,Saul Bellow,2021,,Literary Fiction,,,physical,,
1Q84,Haruki Murakami,2021,,Literary Fiction,,,physical,,re-read
A Farewell to Arms,Ernest Hemingway,2021,,Literary Fiction,,,physical,,
Moby Dick,Herman Melville,2021,,Classic,,,physical,,
Heart of Darkness,Joseph Conrad,2021,,Classic,,,physical,,
The Will to Power,Friedrich Nietzsche,2021,,Philosophy,,,physical,,
Lolita,Vladimir Nabokov,2021,,Literary Fiction,,,physical,,
The Unbearable Lightness of Being,Milan Kundera,2021,,Literary Fiction,,,physical,,re-read
The Road,Cormac McCarthy,2021,,Literary Fiction,,,physical,,
Harry Potter and the Order of the Phoenix,J.K. Rowling,2021,,Fantasy,Harry Potter,5,physical,,re-read
Letters from a Stoic,Seneca,2021,,Philosophy,,,physical,,re-read
Ben Hogan's Five Lessons,Ben Hogan,2021,,Sports/Nonfiction,,,physical,,
Breath,James Nestor,2021,,Nonfiction,,,physical,,
Circe,Madeline Miller,2021,,Fantasy,,,physical,,
The Way of the Superior Man,David Deida,2021,,Self-Help,,,physical,,re-read
Stranger in a Strange Land,Robert A. Heinlein,2021,,Science Fiction,,,physical,,re-read
Tender is the Night,F. Scott Fitzgerald,2021,,Literary Fiction,,,physical,,
Harry Potter and the Goblet of Fire,J.K. Rowling,2021,,Fantasy,Harry Potter,4,physical,,re-read
The Way of Zen,Alan Watts,2021,,Philosophy/Spirituality,,,physical,,
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,2021,,Fantasy,Harry Potter,3,physical,,re-read
The Will to Power,Friedrich Nietzsche,2021,,Philosophy,,,physical,,re-read
We Are Okay,Nina LaCour,2021,,YA Fiction,,,physical,,
Harry Potter and the Chamber of Secrets,J.K. Rowling,2021,,Fantasy,Harry Potter,2,physical,,re-read
Think Like a Monk,Jay Shetty,2021,,Self-Help,,,physical,,
Harry Potter and the Philosopher's Stone,J.K. Rowling,2021,,Fantasy,Harry Potter,1,physical,,re-read
Eleanor Oliphant is Completely Fine,Gail Honeyman,2021,,Literary Fiction,,,physical,,
The Overstory,Richard Powers,2021,,Literary Fiction,,,physical,,
Bared to You,Sylvia Day,2021,,Romance,,,physical,,
The Epic of Gilgamesh,Anonymous,2021,,Classic,,,physical,,
Timequake,Kurt Vonnegut,2021,,Science Fiction,,,physical,,
Little Fires Everywhere,Celeste Ng,2021,,Literary Fiction,,,physical,,
Ham on Rye,Charles Bukowski,2021,,Literary Fiction,,,physical,,
Post Office,Charles Bukowski,2021,,Literary Fiction,,,physical,,
Lolita,Vladimir Nabokov,2021,,Literary Fiction,,,physical,,re-read
Women,Charles Bukowski,2021,,Literary Fiction,,,physical,,
The Master and Margarita,Mikhail Bulgakov,2021,,Literary Fiction,,,physical,,
The Tao of Pooh,Benjamin Hoff,2021,,Philosophy/Spirituality,,,physical,,
The Son of Neptune,Rick Riordan,2021,,Fantasy,The Heroes of Olympus,2,physical,,
Daisy Jones and the Six,Taylor Jenkins Reid,2021,,Literary Fiction,,,physical,,
The Bell Jar,Sylvia Plath,2021,,Literary Fiction,,,physical,,
The Song of Achilles,Madeline Miller,2021,,Historical Fiction,,,physical,,
Where the Crawdads Sing,Delia Owens,2021,,Mystery,,,physical,,
Killing Commendatore,Haruki Murakami,2021,,Literary Fiction,,,physical,,re-read
Atonement,Ian McEwan,2021,,Literary Fiction,,,physical,,
Thus Spoke Zarathustra,Friedrich Nietzsche,2021,,Philosophy,,,physical,,
George,Alex Gino,2022,,YA Fiction,,,physical,,
Wintergirls,Laurie Halse Anderson,2022,,YA Fiction,,,ebook,,
Harry Potter and the Goblet of Fire,J.K. Rowling,2022,,Fantasy,Harry Potter,4,physical,,re-read
Under the Dome,Stephen King,2022,,Science Fiction,,,physical,,
